artista,nombre,ironhacker,letra
Pinkfong,Baby Shark,11100941802,"[Hook]
Baby shark, doo doo doo doo doo doo
Baby shark, doo doo doo doo doo doo
Baby shark, doo doo doo doo doo doo
Baby shark!

[Verse 1]
Mommy shark, doo doo doo doo doo doo
Mommy shark, doo doo doo doo doo doo
Mommy shark, doo doo doo doo doo doo
Mommy shark!

[Verse 2]
Daddy shark, doo doo doo doo doo doo
Daddy shark, doo doo doo doo doo doo
Daddy shark, doo doo doo doo doo doo
Daddy shark!

[Verse 3]
Grandma shark, doo doo doo doo doo doo
Grandma shark, doo doo doo doo doo doo
Grandma shark, doo doo doo doo doo doo
Grandma shark!

[Verse 4]
Grandpa shark, doo doo doo doo doo doo
Grandpa shark, doo doo doo doo doo doo
Grandpa shark, doo doo doo doo doo doo
Grandpa shark!
[Interlude]
Let’s go hunt, doo doo doo doo doo doo
Let’s go hunt, doo doo doo doo doo doo
Let’s go hunt, doo doo doo doo doo doo
Let’s go hunt!

[Bridge]
Run away, doo doo doo doo doo doo
Run away, doo doo doo doo doo doo
Run away, doo doo doo doo doo doo
Run away!

[Breakdown]
Safe at last, doo doo doo doo doo doo
Safe at last, doo doo doo doo doo doo
Safe at last, doo doo doo doo doo doo
Safe at last!

[Outro]
It’s the end, doo doo doo doo doo doo
It’s the end, doo doo doo doo doo doo
It’s the end, doo doo doo doo doo doo
It’s the end!"
Eiffel 65,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,1123075332,"Yo, listen up! Here is the story
About a little guy that lives in a blue world
And all day and all night and everything he sees
Is just blue like him, inside and outside
Blue his house, with the blue little window
And a blue Corvette, and everything is blue for him
And himself, and everybody around
'Cause he ain't got nobody to listen (to listen, to listen...)

I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di

I have a blue house with a blue window
Blue is the color of all that I wear
Blue are the streets and all the trees are too
I have a girlfriend, and she is so blue
Blue are the people here that walk around
Blue like my Corvette, it's standing outside
Blue are the words I say and what I think
Blue are the feelings that live inside me

I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di

Inside and outside
Blue his house, with a blue little window
And a blue Corvette, and everything is blue for him
And himself, and everybody around
'Cause he ain't got nobody to listen (to listen...)

I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
I'm blue
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di
Da ba dee da ba di"
Mattafix,Big City Life,e0q1xrcn5p77job8m2nye7w88,"[Hook]
Big City Life, me try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, here my heart have no base
And right now Babylon de 'pon me case
Big City Life, try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, my heart have no base
And right now Babylon de 'pon me case

[Verse 1]
People in a show
All lined in a row
We just push on by
It's funny, how hard we try
Take a moment to relax
Before you do anything rash
Don't you wanna know me?
Be a friend of mine
I'll share some wisdom with you
Don't you ever get lonely
From time to time
Don't let the system get you down

[Hook]
Big City Life, me try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, here my heart have no base
And right now Babylon de 'pon me case
Big City Life, try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, my heart have no base
And right now Babylon de 'pon me case
[Verse 2]
Soon our work is done
All of us one by one
Still we live our lives
As if all this stuff survives
Don't you wanna know me?
Be a friend of mine (a friend of mine)
I'll share some wisdom with you
Don't you ever get lonely from time to time
Don't let the system get you down

[Bridge]
The Linguist across the seas and the oceans
A permanent itinerant is what I've chosen
I find myself in a Big City prison, arisen from the vision of mankind
Designed, to keep me discreetly, neatly in the corner
You'll find me with the flora and the fauna and the hardship
Back a yard is where my heart is, still I find it hard to depart this Big City Life

[Hook]
Big City Life, me try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, here my heart have no base
And right now Babylon de 'pon me case
Big City Life, try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, my heart have no base
And right now Babylon de 'pon me case
Big City Life, me try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, here my heart have no base
And right now Babylon de 'pon me case
Big City Life, try fi get by
Pressure nah ease up, no matter how hard me try
Big City Life, my heart have no base
And right now Babylon de 'pon me case"
Queen,Bohemian Rhapsody - Live Aid,1123075332,"[Verse 1]
Mama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I’ve gone and thrown it all away
Mama, ooh
Didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really matters

[Verse 2]
Too late, my time has come
Sends shivers down my spine, body’s aching all the time
Goodbye, everybody; I've got to go
Gotta leave you all behind and face the truth
Mama, ooh
I don't want to die
But sometimes wish I'd never been born at all

[Guitar Solo]"
trashi,mañaneo,soyungalgo,[Instrumental]
Miss Caffeina,Me Voy,soyungalgo,"[Letra de ""Me Voy""]

[Verso 1]
¿Por qué no supiste entender a mi corazón? Lo que había en él
¿Por qué no tuviste el valor de ver quién soy?
¿Por qué no escuchas lo que está tan cerca de ti?
Sólo el ruido de afuera y yo
Que estoy a un lado desaparezco para ti

[Pre-Coro]
No voy a llorar y decir que no merezco esto, porque
Es probable que lo merezco, pero no lo quiero por eso

[Coro]
Me voy
Qué lástima, pero adiós
Me despido de ti y me voy
Qué lástima, pero adiós
Me despido de ti

[Verso 2]
Porque sé que me espera algo mejor
Alguien que sepa darme amor
De ese que endulza la sal y hace que salga el Sol
Yo que pensé, nunca me iría de ti
Que es amor del bueno, de toda la vida, pero
Hoy entendí que no hay suficiente para los dos

[Pre-Coro]
No voy a llorar y decir que no merezco esto, porque
Es probable que lo merezco, pero no lo quiero por eso

[Coro]
Me voy
Qué lástima, pero adiós
Me despido de ti y me voy
Qué lástima, pero adiós
Me despido de ti y...

Me voy
Qué lástima, pero adiós
Me despido de ti y me voy
Qué lástima, pero adiós
Me despido de ti y me voy
Qué lástima, pero adiós
Me despido de ti y me voy
Qué lástima, pero adiós
Me despido de ti y me voy"
Reys,Manantial,soyungalgo,"[Letra de ""Manantial""]

[Intro: Kevin Roldán]
Bofff
Baby, ah
King Records

[Coro: Kevin Roldán]
Mamacita, tú me incita' a pecar
Solo esa boquita e' la que quiero besar
Desde que lo hicimo' no te dejo 'e pensar
Cómo tú te viene', mami, un manantial
Cuando nos comemos siento algo especial
Un deseo de ti que no puedo saciar
Bebé, si quieres bellaquear no dude' en llamar
Que sabe' que te voy a llegar

[Verso 1: Kevin Roldán]
Tu punto exacto lo conozco
Te moja' completa, mami, cuando yo tе toco
Estamo' adicto' a comerno' como un loco'
Tus fantasía' oscura' yo te las provoco
Cuando lento tu cuеrpo choco
Ere' una dañaíta' y me encanta (Tra)
Te prefiero, mami, más que las otra' (Tra, tra)
Nos comemo', mami, fumando ganjah (Ey)
Cuando estoy contigo se me pasan las hora'
Despacio, tú y yo perreando, mami, la pared (Ajá)
Sintiéndote desnuda, ma', te imaginé (Ah)
Vámono' aparte donde nadie ve
Que te lo quiero hacer (KR, baby)

[Coro: Kevin Roldán]
Mamacita, tú me incita' a pecar
Solo esa boquita e' la que quiero besar
Desde que lo hicimo' no te dejo 'e pensar
Cómo tú te viene', mami, un manantial
Cuando nos comemos siento algo especial
Un deseo de ti que no puedo saciar
Bebé, si quieres bellaquear no dude' en llamar
Que sabe' que te voy a llegar

[Verso 2: Lyanno]
Ly-Ly
Yo te quiero dar castigo, ma'
Pero sin que no' fleche Cupido, yeh
Tú pon la' regla' y yo la' rompo si me da la gana
Y lo que hagamo' hoy no hay que hablarlo mañana
Y se ve chiquitita, pero e' una veterana
Ese booty se merece un premio to'a la semana
No' comemo' cuando no' dé la gana
Ojalá y te enrede' en mis sábana' y no salga' de mi cama
Porque tú, tú te merece'
Baby, que yo te dé un par de vece'
La clara, yo no puedo parar de pensar desde que te lo hice

[Puente: Kevin Roldán]
Ah, siempre que nos vemo' está mojaíta'
Ella e' salvaje en la intimidad
Le gusta tocarse, treparse
Y se moja a lo maniantal
Siempre que la veo está mojaíta'
Ella e' salvaje en la intimidad
Le gusta tocarse, treparse
Y se moja a lo maniantal

[Coro: Kevin Roldán]
Mamacita, tú me incita' a pecar
Solo esa boquita e' la que quiero besar
Desde que lo hicimo' no te dejo 'e pensar
Cómo tú te viene', mami, un manantial
Cuando nos comemos siento algo especial
Un deseo de ti que no puedo saciar
Bebé, si quieres bellaquear no dude' en llamar
Que sabe' que te voy a llegar

[Outro: Kevin Roldán]
Bofff
Vos sos una mamacita, baby
Es KR, Kevin Roldán
Junto a Ly-Ly-Ly, ey
It's Chain Trackz, baby
Ah, ah, ah, ah
King Records, mi amor
No hay competencia, baby"
Carlos Sadness,Todo Estaba Bien,soyungalgo,"[Letra de ""Todo Estaba Bien (ft. Manuel Medrano)""]

[Verso 1: Carlos]
Y lo bien que estaría volver a conocerse
En medio del ruido, entre tanta gente
Volver a la primera vez que te tuve delante
La primera palabra que me dedicaste

[Pre-Coro: Manuel, Carlos, Ambos]
Que bonito sería volver
Donde nadie vuelve y fuimos fugaces (Sí, sí)
Y empezarnos a conocer
Como si nunca lo hubieras llegado a hacer

[Coro: Carlos, Manuel, Ambos]
Y quedarnos a vivir
Cuando todo estaba bien, cuando me querías ver
Fuera la hora que fuera, fuese para no volver

Cuando todo estaba bien (Tan bien)
Cuando me querías ver
Aunque hiciera mucho frío en la punta de tus pies (Yeah)

[Post-Coro: Manuel, Carlos]
Me gusta cuando vamos a la playa
Vemos el mar juntos por la ventana
Medimos el tamaño de las olas
Surfeamos en la cama a todas horas

Me gusta cuando me hacías café (Hacías café)
Aunque tú sólo tomaras té
Y nos quedábamos despiertos toda la noche

[Verso 2: Manuel, Carlos, Ambos]
Cada día hay un amanecer
Pero nunca lo veo (Pero nunca lo veo)
Me quedo soñando, contigo

Porque todos tus besos son de un color diferente
Que nunca se repite, cambia constantemente (No)
Y empezarnos a conocer
Como si nunca lo hubieras llegado a hacer (Como si nunca lo hubieras)

[Coro - Variación: Carlos, Ambos]
Y quedarnos a vivir
Cuando todo estaba bien, cuando me querías ver
Fuera la hora que fuera, fuese para no volver

Cuando todo estaba bien (Tan bien)
Cuando me querías ver
Aunque hiciera mucho frío en la punta de tus pies
Cuando todo estaba bie-eh-eh-eh-en (Cuando todo estaba bien)

[Post-Coro 2: Carlos, Manuel, Ambos]
Me gusta cuando vamos a la playa (A la playa)
Vemos el mar juntos por la ventana
Medimos el tamaño de las olas
Surfeamos en la cama a todas horas

Me gusta cuando me hacías café
Aunque tú sólo tomaras té
Extraño besarme contigo toda la noche

[Outro: Manuel, Carlos]
Me gusta cuando vamos a la playa
Vemos el mar juntos por la ventana
Me gusta cuando me hacías café
Aunque tú solo tomaras té"
Bomba Estéreo,Profundo,soyungalgo,"I'm concentrate on the wrong side of the law
From the creator of this beautiful strip mall
A decimator of the cinder block world
A ventilator of the rallying call

One by one, I take them on
This will be my revolucion
One by one, they will be gone
I will not sleep till it be done

Basso profundo
Yeah everybody knows todo el mundo
It's shaking the windows, the tide is shifting
Everybody says, ""No Mas!"", the boat is drifting
From the ones who control us

They never have enough
They never have enough
They never have enough
The money is all that they love

They never have enough
They never have enough
They never have enough
The money is all that they love
All the world is for the taking
Just forget the hearts you're breaking
Is this love that you are making
Or is it a deal?

Renacimiento is something I can do
Este pobrecito has just gotten some bad news
Mis hermanos we so close
Ten thousand light years
From the ones we love the most

They never have enough
They never have enough
They never have enough
The money is all that they love

They never have enough
They never have enough
They never have enough
The money is all that they love

All the world is for the taking
Just forget the hearts you're breaking
Is this love that you are making
Or is it a deal?
You are my sugar
You are the salt upon the earth
When will they see you?
When will they pay you what you're worth?
Amor mio I'm so close
Solo tù y yo
That's what I want the most

But I never have enough
I never have enough
I never have enough
You'll be the death of me my love

I never have enough
I never have enough
I never have enough
You'll be the death of me my love

All the world is for the taking
Just forget the hearts you're breaking
Is this love that you are making
Or is it a deal?"
Zahara,MERICHANE,soyungalgo,"[Letra de ""MERICHANE""]

[Estrofa 1]
Yo estaba ahí cuando todos bailaban
Mojaban el dedo, se creían eternos
Yo estaba en el baño aguantando la puerta con mi espalda
Mientras les besaba la lengua
Yo estaba ahí en las oficinas de Universal
Tragando sermones sobre mi gran potencial
Yo estaba ahí abrazada a la taza del váter
Yo era incapaz de soltarla y ellos de mirarme

[Estrofa 2]
Yo estaba ahí en urgencias acariciando el límite
Necesitaba algo infalible
Yo estaba de rodillas pidiеndo perdón a vuestro Dios
Por no saber dеcirle que no

[Estribillo]
Yo-o-o-o
A-a-aún ahí y sin saber salir
Yo-o-o-o
A-a-aún ahí, sin saber salir
Y no logro huir

[Estrofa 3]
Yo estaba ahí cambiándole el nombre a mis amantes
En la lista de contactos
Yo estaba ahí dejándole las bragas usadas en el armario
Jodiéndole la vida a un extraño
Yo estaba en la otra habitación, escuchaba su respiración
Deseaba que no entrase
Yo estaba entre las sábanas ásperas del verano
Dejando de ser quién había soñado
[Estribillo]
Yo-o-o-o
A-a-aún ahí y sin saber salir
Y no logro sacarme de allí

[Estrofa 4]
Yo estaba ahí con las llaves en la mano
Acelerando el paso, fingiendo que hablaba con mi hermano
Yo estaba ahí dejándome hacer
Con tal de que acabase de una vez
Yo estaba ahí confesándome por haberme tocado
Creyendo que ese era el puto pecado
Yo estaba ahí metiéndome los dedos hasta el fondo
Queriendo vomitar las penas, la vida, el odio

[Estribillo]
Yo-o-o-o
A-a-aún ahí y sin saber salir
Yo-o-o-o
A-a-aún ahí, sin saber salir
Y no logro, no sé cómo sacarme de allí"
